City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la passe,45.5549,-0.8967,289.47,68,67,2.64,FR,1728639165
1,quibdo,5.6947,-76.6611,294.84,99,90,0.8,CO,1728639166
2,iqaluit,63.7506,-68.5145,274.0,80,100,3.09,CA,1728638958
3,puerto natales,-51.7236,-72.4875,274.89,92,83,2.72,CL,1728639168
4,alice springs,-23.7,133.8833,303.9,11,100,4.63,AU,1728639169
5,kilindoni,-7.9139,39.6668,299.69,72,0,4.94,TZ,1728639171
6,port-aux-francais,-49.35,70.2167,275.48,86,80,18.21,TF,1728639172
7,nemuro,43.3236,145.575,284.72,68,93,6.86,JP,1728639173
8,badger,64.8,-147.5333,273.1,90,100,0.0,US,1728639174
9,thompson,55.7435,-97.8558,273.24,100,40,1.54,CA,1728639175
10,kodiak,57.79,-152.4072,278.88,81,100,8.75,US,1728638891
11,san patricio,28.017,-97.5169,292.12,64,0,2.13,US,1728639177
12,blackmans bay,-43.0167,147.3167,282.22,70,7,0.89,AU,1728639178
13,hilo,19.7297,-155.09,295.43,98,0,2.57,US,1728639179
14,santa cruz,-17.8,-63.1667,291.85,94,100,5.14,BO,1728638733
15,belmonte,-15.8631,-38.8828,298.83,73,98,3.04,BR,1728639182
16,yellowknife,62.456,-114.3525,277.27,100,20,1.03,CA,1728639183
17,grytviken,-54.2811,-36.5092,274.93,87,20,4.18,GS,1728639184
18,corner brook,48.9667,-57.9484,279.52,97,81,1.84,CA,1728639185
19,andergrove,-21.0833,149.1833,296.3,78,0,8.9,AU,1728639186
20,udachny,66.4167,112.4,265.18,95,100,3.79,RU,1728639187
21,bandar abbas,27.1865,56.2808,308.14,36,0,5.14,IR,1728639188
22,adamstown,-25.066,-130.1015,294.39,89,62,6.63,PN,1728639189
23,lihue,21.9789,-159.3672,298.92,83,100,3.6,US,1728639191
24,port lincoln,-34.7333,135.8667,286.49,78,82,6.54,AU,1728639178
25,bestobe,52.4994,73.0975,277.36,72,100,8.88,KZ,1728639193
26,edinburgh of the seven seas,-37.0676,-12.3116,282.76,65,100,16.65,SH,1728639195
27,puerto ayora,-0.7393,-90.3518,292.9,95,95,2.24,EC,1728639196
28,port mathurin,-19.6833,63.4167,295.82,70,75,10.36,MU,1728639197
29,sabang,5.8933,95.3214,301.18,79,46,9.38,ID,1728639199
30,tura,25.5198,90.2201,300.23,82,11,1.1,IN,1728639200
31,touros,-5.1989,-35.4608,299.7,65,100,6.3,BR,1728639201
32,lautoka,-17.6167,177.4667,299.07,73,40,0.0,FJ,1728639202
33,morehead city,34.7229,-76.726,286.15,84,0,3.6,US,1728638949
34,nuku'alofa,-21.1333,-175.2,297.34,100,75,3.6,TO,1728639204
35,whakatane,-37.9585,176.9854,286.21,79,100,3.13,NZ,1728639205
36,nizao,18.25,-70.2,299.4,84,86,0.97,DO,1728639206
37,uruacu,-14.5247,-49.1408,299.3,58,63,1.65,BR,1728639099
38,murray bridge,-35.1167,139.2667,283.72,83,5,4.12,AU,1728639209
39,ribeira grande,38.5167,-28.7,293.02,68,20,2.57,PT,1728639210
40,reggane,26.7158,0.1714,309.48,11,0,2.22,DZ,1728639211
41,punta arenas,-53.15,-70.9167,277.21,75,100,2.57,CL,1728639026
42,waitangi,-43.9535,-176.5597,281.94,73,74,0.45,NZ,1728639213
43,xining,36.6167,101.7667,286.08,53,100,4.67,CN,1728639214
44,vilyuysk,63.7553,121.6247,268.56,95,61,1.11,RU,1728639215
45,mo i rana,66.3128,14.1428,277.77,91,75,3.6,NO,1728639113
46,kismayo,-0.3582,42.5454,301.72,68,7,8.38,SO,1728639217
47,ilulissat,69.2167,-51.1,268.16,54,0,1.54,GL,1728639218
48,arraial do cabo,-22.9661,-42.0278,295.07,100,100,6.17,BR,1728639220
49,sharlyk,52.9167,54.75,276.02,73,100,5.73,RU,1728639221
50,remire-montjoly,4.9167,-52.2667,297.17,94,0,0.51,GF,1728639222
51,i-n-salah,27.1935,2.4607,310.04,17,4,3.83,DZ,1728639223
52,kenai,60.5544,-151.2583,277.12,100,0,1.54,US,1728639224
53,san antonio,29.4241,-98.4936,295.03,69,0,1.54,US,1728639002
54,laascaanood,8.4774,47.3597,303.53,39,57,8.35,SO,1728639226
55,papao,-17.75,-149.55,296.97,89,100,10.17,PF,1728639227
56,ha tinh,18.3333,105.9,299.29,78,20,2.12,VN,1728639229
57,los llanos de aridane,28.6585,-17.9182,295.01,88,40,1.54,ES,1728639230
58,bouna,9.2667,-3.0,301.31,70,86,2.28,CI,1728639231
59,anadyr,64.75,177.4833,263.43,85,0,4.0,RU,1728639232
60,atar,20.5169,-13.0499,308.07,28,21,3.08,MR,1728639233
61,uturoa,-16.7333,-151.4333,298.4,76,99,7.26,PF,1728639234
62,papatowai,-46.5619,169.4708,280.19,92,24,2.3,NZ,1728639235
63,invercargill,-46.4,168.35,282.05,88,36,2.67,NZ,1728639236
64,olonkinbyen,70.9221,-8.7187,270.15,90,100,19.93,SJ,1728639237
65,san jeronimito,17.55,-101.3333,296.31,92,17,1.68,MX,1728639238
66,fouesnant,47.8919,-4.0148,283.27,100,0,1.03,FR,1728639240
67,beaumont,30.0861,-94.1019,287.62,95,0,0.0,US,1728639241
68,meadow lake,34.8014,-106.5436,289.86,52,0,0.72,US,1728639242
69,nyrob,60.733,56.7202,274.51,46,10,3.48,RU,1728639243
70,hithadhoo,-0.6,73.0833,301.12,78,99,7.2,MV,1728639244
71,bethel,41.3712,-73.414,278.83,85,0,0.45,US,1728639010
72,ancud,-41.8697,-73.8203,279.64,84,8,3.07,CL,1728639246
73,kidal,18.4411,1.4078,309.34,12,65,0.57,ML,1728639247
74,gaiman,-43.2897,-65.4929,278.26,44,26,6.93,AR,1728639248
75,chonchi,-42.6128,-73.8092,277.1,93,59,1.65,CL,1728639250
76,new norfolk,-42.7826,147.0587,281.88,73,6,2.98,AU,1728639251
77,constantia,44.1833,28.65,298.54,63,86,4.32,RO,1728639252
78,alibag,18.6411,72.8792,302.52,75,22,3.48,IN,1728639253
79,beitbridge,-22.2167,30.0,305.85,20,0,5.63,ZW,1728639254
80,shahdadpur,25.9241,68.62,312.29,12,0,2.41,PK,1728639044
81,west island,-12.1568,96.8225,301.14,78,20,7.2,CC,1728639257
82,dubbo,-32.25,148.6167,294.22,40,40,2.06,AU,1728639258
83,ushuaia,-54.8,-68.3,274.96,80,40,1.54,AR,1728639259
84,bredasdorp,-34.5322,20.0403,296.98,40,95,2.75,ZA,1728639260
85,mount isa,-20.7333,139.5,302.02,18,54,3.09,AU,1728639261
86,dongola,19.1667,30.4833,312.35,11,23,6.71,SD,1728639262
87,margaret river,-33.95,115.0667,291.82,88,77,2.55,AU,1728639263
88,vilyuchinsk,52.9306,158.4028,276.3,72,100,3.98,RU,1728639264
89,paranagua,-25.52,-48.5092,293.73,98,100,1.02,BR,1728639267
90,newman,37.3138,-121.0208,289.85,74,1,1.41,US,1728639269
91,dryden,49.7833,-92.7503,285.31,82,75,3.6,CA,1728639065
92,tiksi,71.6872,128.8694,265.2,92,96,2.26,RU,1728639272
93,utrik,11.2278,169.8474,298.9,87,100,5.8,MH,1728639273
94,hanak,41.2336,42.8472,284.24,74,100,2.68,TR,1728639276
95,wailua homesteads,22.0669,-159.378,298.59,94,100,3.6,US,1728639277
96,crane,31.3974,-102.3501,294.31,38,0,4.33,US,1728639278
97,albany,42.6001,-73.9662,279.15,66,0,2.31,US,1728639279
98,mwene-ditu,-7.0,23.45,303.67,40,94,2.7,CD,1728639280
99,cill airne,52.05,-9.5167,278.18,100,75,0.0,IE,1728639281
100,vila franca do campo,37.7167,-25.4333,292.38,99,65,6.89,PT,1728639282
101,kalisz,51.7611,18.091,286.53,53,2,5.36,PL,1728639283
102,alaghsas,17.0187,8.0168,310.09,11,0,7.2,NE,1728639285
103,isangel,-19.55,169.2667,295.48,74,72,5.19,VU,1728639286
104,tralee,52.2704,-9.7026,278.29,100,75,0.0,IE,1728639287
105,georgetown,5.4112,100.3354,303.12,74,20,4.63,MY,1728639288
106,padang,-0.9492,100.3543,303.18,86,100,1.33,ID,1728639066
107,ntungamo,-0.8833,29.65,298.37,63,88,1.68,UG,1728639290
108,churachandpur,24.3333,93.6667,296.04,78,17,1.34,IN,1728639291
109,kone,-21.0595,164.8658,294.85,76,70,1.74,NC,1728639292
110,callao,-12.0667,-77.15,290.77,94,100,2.57,PE,1728639294
111,bafoulabe,13.8065,-10.8321,301.88,76,96,1.54,ML,1728639295
112,ola,59.5833,151.2833,274.98,79,96,1.1,RU,1728639296
113,paracuru,-3.41,-39.0306,299.55,70,100,6.3,BR,1728639297
114,atafu village,-8.5421,-172.5159,300.89,79,16,5.87,TK,1728639298
115,codrington,-38.2667,141.9667,285.31,67,91,5.35,AU,1728639299
116,sitka,57.0531,-135.33,280.09,87,100,2.06,US,1728639300
